시나리오ID,화면명,URL,전제조건,테스트단계,기대결과,우선순위,피그마일치여부
SCR-05-E2,민사 사건 문서 업로드 — 빈 제목,https://staging.ailex.co.kr/case-list?civil_case_id=ccase_01KJ9BX7N9407DKCQ2SMNT6XC8&project_id=prj_01KJ9BX7GMEGDP0XARME8DR3RG&tab=list,로그인 상태,"1. 문서 업로드 버튼 클릭
2. 파일 선택
3. 문서 제목 비워두고 업로드 클릭","유효성 검사 실패 메시지 표시 / 업로드 차단",P2,코드만
SCR-06,자료 요청 탭 — 요청 목록 조회,https://staging.ailex.co.kr/case-list?civil_case_id=ccase_01KJ9BX7N9407DKCQ2SMNT6XC8&project_id=prj_01KJ9BX7GMEGDP0XARME8DR3RG&tab=client_request,로그인 상태 / 사건 진입 상태,"1. 자료 요청 탭 클릭 (client_request)
2. 요청 목록 확인","자료 요청 목록이 표시됨",P2,일치
SCR-07,자료 요청 생성 — 이메일 발송,https://staging.ailex.co.kr/case-list?civil_case_id=ccase_01KJ9BX7N9407DKCQ2SMNT6XC8&project_id=prj_01KJ9BX7GMEGDP0XARME8DR3RG&tab=client_request,로그인 상태 / 자료 요청 탭 진입,"1. 새 요청 만들기 버튼 클릭
2. 이메일 입력 (수신자)
3. 자료명 입력
4. 요청 메시지 작성
5. 발송 버튼 클릭","요청이 생성되고 수신자에게 이메일 발송됨 / 목록에 추가됨",P2,일치
SCR-07-E1,자료 요청 — 이메일 형식 오류,https://staging.ailex.co.kr/case-list?civil_case_id=ccase_01KJ9BX7N9407DKCQ2SMNT6XC8&project_id=prj_01KJ9BX7GMEGDP0XARME8DR3RG&tab=client_request,로그인 상태,"1. 새 요청 만들기 클릭
2. 이메일 필드에 'invalid-email' 입력
3. 추가 클릭","이메일 형식 오류 메시지 표시 / 추가 차단",P2,코드만
SCR-08,전체 자료 탭 — 의뢰인 제출 자료 조회,https://staging.ailex.co.kr/case-list?civil_case_id=ccase_01KJ9BX7N9407DKCQ2SMNT6XC8&project_id=prj_01KJ9BX7GMEGDP0XARME8DR3RG&tab=client_list,로그인 상태 / 자료 요청 후 의뢰인 제출 완료,"1. 전체 자료 탭 클릭 (client_list)
2. 제출된 자료 목록 확인","의뢰인이 제출한 자료 목록이 표시됨",P2,일치
SCR-09,기타 자료 직접 제출 (파일 업로드),https://staging.ailex.co.kr/case-list?civil_case_id=ccase_01KJ9BX7N9407DKCQ2SMNT6XC8&project_id=prj_01KJ9BX7GMEGDP0XARME8DR3RG&tab=client_list,로그인 상태 / 전체 자료 탭 진입 / PDF 파일 준비,"1. 기타 자료 제출하기 버튼 클릭
2. 파일 선택 (PDF, 예: sample_file.pdf)
3. 자료 이름 입력
4. 제출 버튼 클릭","파일 업로드 완료 / 전체 자료 목록에 추가됨",P2,일치
SCR-09-E1,기타 자료 직접 제출 — 자료명 빈 값,https://staging.ailex.co.kr/case-list?civil_case_id=ccase_01KJ9BX7N9407DKCQ2SMNT6XC8&project_id=prj_01KJ9BX7GMEGDP0XARME8DR3RG&tab=client_list,로그인 상태,"1. 기타 자료 제출하기 클릭
2. 파일 선택
3. 자료 이름 비워두고 제출","유효성 검사 실패 메시지 표시 / 제출 차단",P2,코드만
SCR-10,서면 목록 조회,https://staging.ailex.co.kr/case-list?civil_case_id=ccase_01KJ9BX7N9407DKCQ2SMNT6XC8&project_id=prj_01KJ9BX7GMEGDP0XARME8DR3RG&tab=editor,로그인 상태 / 사건 진입 상태,"1. 서면 작성 탭 클릭 (editor)
2. 준비서면 목록 확인","준비서면 목록이 표시됨 (목록 또는 빈 상태)",P1,일치
SCR-11,새 서면 생성,https://staging.ailex.co.kr/case-list?civil_case_id=ccase_01KJ9BX7N9407DKCQ2SMNT6XC8&project_id=prj_01KJ9BX7GMEGDP0XARME8DR3RG&tab=editor,로그인 상태 / 서면 목록 탭 진입,"1. 새 서면 생성 버튼 클릭
2. AI 생성 또는 직접 작성 선택
3. 서면 이름 입력
4. 생성 확인","서면이 생성되어 에디터(/case-list/editor)로 진입됨",P1,일치
SCR-12,서면 작성 에디터 — 기본 편집,https://staging.ailex.co.kr/case-list/editor?civil_case_id=ccase_01KJ9BX7N9407DKCQ2SMNT6XC8&project_id=prj_01KJ9BX7GMEGDP0XARME8DR3RG,로그인 상태 / 서면 존재,"1. 서면 작성 에디터 진입
2. 텍스트 입력
3. 서식 적용 (굵게·이탤릭 등)
4. 자동 저장 확인","텍스트 편집 가능 / 자동 저장 동작",P1,일치
SCR-13,서면 작성 — 기록 목록 증거 첨부 (드래그앤드랍),https://staging.ailex.co.kr/case-list/editor?civil_case_id=ccase_01KJ9BX7N9407DKCQ2SMNT6XC8&project_id=prj_01KJ9BX7GMEGDP0XARME8DR3RG,로그인 상태 / 서면 에디터 진입 / 기록 목록에 문서 존재,"1. 서면 작성 에디터에서 기록 목록 패널 열기
2. 문서 아이템을 에디터로 드래그앤드랍
3. 증명 방법 명세 영역에 드롭","문서가 증거로 첨부됨 / 증명 방법 명세에 반영됨",P1,일치
SCR-14,서면 작성 — 하이라이트 증거 첨부,https://staging.ailex.co.kr/case-list/editor?civil_case_id=ccase_01KJ9BX7N9407DKCQ2SMNT6XC8&project_id=prj_01KJ9BX7GMEGDP0XARME8DR3RG,로그인 상태 / 서면 에디터 진입 / 기록 목록에 하이라이트 존재,"1. 기록 목록 패널에서 하이라이트 아이템 드래그앤드랍
2. 에디터에 드롭","하이라이트가 증거로 첨부됨",P2,일치
SCR-15,서면 작성 — 메모 추가,https://staging.ailex.co.kr/case-list/editor?civil_case_id=ccase_01KJ9BX7N9407DKCQ2SMNT6XC8&project_id=prj_01KJ9BX7GMEGDP0XARME8DR3RG,로그인 상태 / 서면 에디터 진입,"1. 서면 텍스트 일부 드래그 선택
2. 메모 추가 아이콘 클릭
3. 메모 내용 입력
4. 저장","메모가 해당 텍스트 위치에 연결되어 저장됨",P3,일치
SCR-16,서면 작성 — 검토 요청,https://staging.ailex.co.kr/case-list/editor?civil_case_id=ccase_01KJ9BX7N9407DKCQ2SMNT6XC8&project_id=prj_01KJ9BX7GMEGDP0XARME8DR3RG,로그인 상태 / 서면 에디터 진입 / 검토자 이메일 보유,"1. 검토 요청 버튼 클릭
2. 검토자 이메일 입력
3. 검토 요청 메시지 입력
4. 요청 발송","검토 요청이 발송됨 / 버전 기록에 저장됨",P2,일치
SCR-17,서면 작성 — 버전 기록 조회,https://staging.ailex.co.kr/case-list/editor?civil_case_id=ccase_01KJ9BX7N9407DKCQ2SMNT6XC8&project_id=prj_01KJ9BX7GMEGDP0XARME8DR3RG,로그인 상태 / 버전 기록 존재,"1. 버전 기록 버튼 클릭
2. 버전 목록 확인
3. 이전 버전 선택
4. Diff 확인","버전 목록이 표시됨 / 이전 버전과 Diff(변경사항) 표시됨",P2,일치
SCR-18,서면 다운로드,https://staging.ailex.co.kr/case-list/editor?civil_case_id=ccase_01KJ9BX7N9407DKCQ2SMNT6XC8&project_id=prj_01KJ9BX7GMEGDP0XARME8DR3RG,로그인 상태 / 서면 내용 존재,"1. 다운로드 버튼 클릭
2. 다운로드 모달에서 형식 선택 (DOCX 등)
3. 다운로드 실행","파일이 다운로드됨",P2,일치
SCR-19,서면 이름 변경,https://staging.ailex.co.kr/case-list/editor?civil_case_id=ccase_01KJ9BX7N9407DKCQ2SMNT6XC8&project_id=prj_01KJ9BX7GMEGDP0XARME8DR3RG,로그인 상태 / 서면 에디터 진입,"1. 문서 이름 바꾸기 메뉴 선택
2. 새 이름 입력 (특수문자 없이)
3. 확인","서면 이름이 변경됨 / 기록 목록·의뢰인 전체자료의 연결 문서명도 변경됨",P2,일치
SCR-19-E1,서면 이름 변경 — 특수문자 포함,https://staging.ailex.co.kr/case-list/editor?civil_case_id=ccase_01KJ9BX7N9407DKCQ2SMNT6XC8&project_id=prj_01KJ9BX7GMEGDP0XARME8DR3RG,로그인 상태,"1. 문서 이름 바꾸기
2. 이름에 특수문자 입력 (예: 준비서면_2026/03)
3. 확인","적절한 처리 (저장 성공 또는 유효성 오류 메시지)",P3,코드만
SCR-20,권한 관리 탭,https://staging.ailex.co.kr/case-list?civil_case_id=ccase_01KJ9BX7N9407DKCQ2SMNT6XC8&project_id=prj_01KJ9BX7GMEGDP0XARME8DR3RG&tab=authority,로그인 상태,"1. 권한 관리 탭 클릭 (authority)
2. 구성원 목록 확인","구성원 목록과 권한 설정이 표시됨",P2,코드만
SCR-21,증거 목록,https://staging.ailex.co.kr/evidence/list,로그인 상태,"1. /evidence/list 접속
2. 증거 목록 표시 확인
3. 검색어 입력","증거 문서 목록이 표시됨 / 검색 동작",P1,코드만
SCR-22,증거 파일 업로드 (PDF),https://staging.ailex.co.kr/evidence/list,로그인 상태 / sample_file.pdf 준비 / 프로젝트 ID 보유,"1. 증거 목록에서 파일 업로드 버튼 클릭
2. sample_file.pdf 선택 (199KB)
3. 파일명 입력 (예: 클로드사용가이드.pdf)
4. 업로드 실행","업로드 성공 / 증거 목록에 추가됨",P1,코드만
SCR-22-E1,증거 파일 업로드 — 대용량 파일,https://staging.ailex.co.kr/evidence/list,로그인 상태 / 50MB 이상 PDF 준비,"1. 파일 업로드 버튼 클릭
2. 50MB 초과 파일 선택
3. 업로드 시도","업로드 제한 초과 에러 메시지 표시 또는 업로드 진행 처리",P2,코드만
SCR-22-E2,증거 파일 업로드 — PDF 외 파일 형식,https://staging.ailex.co.kr/evidence/list,로그인 상태,"1. 파일 업로드 버튼 클릭
2. .txt 또는 .xlsx 파일 선택
3. 업로드 시도","지원 형식 외 파일에 대한 안내 메시지 또는 처리",P2,코드만
SCR-23,증거 PDF 뷰어,https://staging.ailex.co.kr/evidence/pdf/cdoc_01KK089FYR0HD07J1580F1VXPD,로그인 상태 / 해당 문서 존재,"1. /evidence/pdf/{DOCUMENT_ID} 접속
2. PDF 렌더링 확인
3. 페이지 이동 (다음/이전)
4. 줌 인/아웃","PDF가 정상 렌더링됨 / 페이지 이동·줌 동작",P1,코드만
SCR-24,케이스 뷰어,https://staging.ailex.co.kr/evidence/case-viewer/cdoc_01KK089FYR0HD07J1580F1VXPD,로그인 상태 / 해당 문서 존재,"1. /evidence/case-viewer/{DOCUMENT_ID} 접속
2. 문서 뷰어 표시 확인","문서 뷰어가 정상 표시됨",P1,코드만
SCR-25,AI 화면,https://staging.ailex.co.kr/ai,로그인 상태,"1. /ai 접속
2. AI 기능 표시 확인
3. 질의 입력","AI 화면이 로드됨 / 질의응답 동작",P2,코드만
SCR-26,설정,https://staging.ailex.co.kr/settings,로그인 상태,"1. /settings 접속
2. 계정 정보 표시 확인
3. 프로필 사진 변경 (이미지 업로드)","설정 화면 로드됨 / 프로필 사진 업로드 동작",P3,코드만
SCR-26-E1,프로필 사진 업로드 — 대용량 이미지,https://staging.ailex.co.kr/settings,로그인 상태,"1. 설정에서 프로필 사진 변경 클릭
2. 10MB 이상 이미지 선택
3. 업로드 시도","파일 크기 제한 안내 또는 업로드 처리",P3,코드만
SCR-27,알림,https://staging.ailex.co.kr/notifications,로그인 상태,"1. /notifications 접속
2. 알림 목록 확인
3. 알림 클릭","알림 목록이 표시됨 / 알림 클릭 시 해당 화면으로 이동",P3,코드만
SCR-28,메모,https://staging.ailex.co.kr/memo,로그인 상태,"1. /memo 접속
2. 메모 목록 확인","메모 목록이 표시됨",P3,코드만
SCR-29,결제 관리,https://staging.ailex.co.kr/payment,로그인 상태,"1. /payment 접속
2. 결제 수단·이력 확인","결제 관리 화면이 표시됨",P2,코드만
SCR-30,구독 관리,https://staging.ailex.co.kr/subscription,로그인 상태,"1. /subscription 접속
2. 구독 플랜·상태 확인","구독 관리 화면이 표시됨",P2,코드만
SCR-31,의뢰인 증거 제출 요청 수신 (비로그인),https://staging.ailex.co.kr/evidence-request,비로그인 / 요청 링크 보유,"1. /evidence-request 접속 (이메일 링크)
2. 자료 제출 화면 확인
3. 파일 선택 (PDF)
4. 자료 이름 입력
5. 제출","파일 업로드 완료 / 제출 완료 안내",P1,코드만
SCR-31-E1,의뢰인 증거 제출 — 파일 없이 제출,https://staging.ailex.co.kr/evidence-request,비로그인,"1. /evidence-request 접속
2. 파일 선택 없이 제출 버튼 클릭","파일 필수 입력 안내 메시지 표시",P2,코드만
SCR-32,요약 PDF 뷰어,https://staging.ailex.co.kr/evidence/summaryPdf/cdoc_01KK089FYR0HD07J1580F1VXPD,로그인 상태 / AI 요약 완료된 문서 존재,"1. /evidence/summaryPdf/{DOCUMENT_ID} 접속
2. AI 요약 PDF 표시 확인","AI 요약 PDF가 정상 렌더링됨",P2,코드만
SCR-33,데모 (비로그인),https://staging.ailex.co.kr/demo,비로그인,"1. /demo 접속
2. 데모 증거 목록 확인
3. 항목 클릭 → 뷰어 진입","데모 화면이 로드됨 / 비로그인으로 열람 가능",P3,코드만
